N,P,K,temperature,humidity,ph,rainfall,label
106.81732807519984,30.573883531977195,34.35428750057323,24.334645458326126,66.82376000615922,7.632795452723141,143.90410549543503,cotton
16.436695639900066,29.0216516803295,52.8267441888372,29.790418922946444,55.41271466244111,7.032051799038593,90.49210529344016,grapes
18.29863803540593,19.837762465491437,18.110848447084685,29.96676581730097,74.89372376246546,7.184499170398468,182.30283087957645,orange
121.53903906650824,24.376677394498618,28.82594609974003,31.13594068170396,59.75489918124756,6.997089756662587,138.80880489071274,cotton
7.51411610760541,130.314324882884,167.117326845637,14.081713372846709,57.803479490461974,6.912857459257493,153.00884969144238,apple
57.10672260604629,43.75719272219242,43.40466064876661,27.84645337219016,88.53001238088443,6.04832304067556,146.2534943295706,papaya
12.101429703615336,127.54517159602173,149.76284455123596,9.62870691915211,51.33185794907981,6.726298623937181,198.98921622398746,apple
87.38924690215518,34.87850818034674,57.32781553481527,28.22537242923169,88.99599826583848,6.58857926258254,242.01227939036846,rice
22.48854785633064,77.95405462608012,83.9604417685427,15.71735343747425,46.80275852201548,7.862980773837852,93.58870750879987,lentil
25.05608593073511,53.648706391832114,62.60426816339442,26.324706563419266,70.93831027586248,6.319371400196276,65.36838736862323,blackgram
86.86775972513965,13.07603614337932,58.3777842482763,26.413155454187407,75.08564666070433,5.530766378980587,54.96254727975352,watermelon
5.134832026830987,6.513332031587884,14.083554108408954,25.198093109207623,82.8586241632152,7.222260486089563,148.64258350260718,orange
92.33589392465845,39.13841307520112,32.93016342019152,26.842330265121568,78.80304987479202,5.683057352267168,224.27653651669053,rice
17.730613414103356,13.434237541512841,8.781479893434499,29.32334565013887,79.66708606117798,6.1633805033467715,118.14976282708412,orange
128.19587635819184,26.147480975479994,37.367852618890325,34.21466962534721,74.39733344739747,7.878162609774041,84.46994897266723,cotton
91.07311188940207,47.77050985780087,57.37090036850073,13.159932835084998,58.688997506904485,6.947340330138781,123.3113022415281,wheat
4.542981776738926,115.58504069432041,172.4520442880482,15.106778590079443,77.04960160138116,6.873209481360273,177.66400743726228,apple
